start_node,end_node,np
103115,100103,2
103115,100194,1
101178,102178,1
101178,102178,2
101136,101107,0
101136,102180,0
101107,102180,0
100830,100848,0
205183,100848,0
100848,100847,0
100414,100494,0
100426,101426,0
100342,101730,0
100248,102212,0
100248,102214,0
103126,103127,0
103127,100136,0
100629,100617,0
100639,100617,0
100629,100618,0
100618,100639,0
100629,100619,0
100639,100619,0
103165,103166,0
100249,100279,0
100284,100274,0
100003,101033,0
102159,101161,0
102160,101161,0
100213,100233,2
100203,100148,0
100863,100875,0
100869,100875,0
100864,100877,0
100869,100876,0
102230,100232,1
102230,100232,2
100869,100883,0
100483,100473,0
100483,100491,0
100401,100473,0
100401,100491,0
102139,101101,0
103120,103118,0
101004,100056,0
103177,100117,0
100502,100513,0
