number,name
205221,Наливная
205222,СарГЭС500
205223,Горный220
205224,Горный110
205225,Екатериновка
205226,Аткарск-220
205227,Курдюм220
205228,Курдюм ФСК
205229,Кр.Яр220
205231,Распред.
205232,Курдюм500
205233,Подлесное
205235,Курдюм СЭС
205240,Ртищево220
205241,Ртищево110
205245,Подлесн.
205250,БАЭС500
205251,БАЭС220
205252,БАЭС бл1
205253,БАЭС бл2.3.4
205246,Пушкино 220
205247,Пушкино
205260,Перелюб
205270,Лепехинка
205271,Озинки
205280,Байчуров
205301,УТЭЦ2-220
205302,Кременки220
205303,Кременки110
205307,Громово
205304,Ульяновск220
205305,Ульяновск110
205306,Центральная
205309,1М-110
205310,1М-220
205311,Черемшан220
205312,Черемшан110
205313,2М
205314,Барыш110
205315,Инза
205317,УТЭЦ1
205318,УТЭЦ2-110
205319,УТЭЦ1тг10
205322,Ключики500
205324,Ключики220
205329,Озерки
205427,Сура
205339,Налейка
205340,Коромысловка
205135,Н.Образц.
205343,Коптевка
205348,Клин
205347,Канадей
205349,Барыш-220
205352,Северная
205353,Ишеевка
205355,отп.Лес-1
205354,отп.Лес-2
205426,Ночка
205357,Вешкайма110Т-1
205356,Вешкайма110Т-2
205358,Карсун
205360,Никулино-2
205361,Ключ. тяг.
205365,ЧуфаровоТ-2
205373,Языково
205396,Александр.
205398,Н.Черемш.
205399,Вешкайма
205368,Майна
205362,Курмаевка
205383,Куроедово
205392,Матвеевка
205401,Пенза1-220
205402,Пенза1-110
205403,Лунино тяговая
205404,Сердобск220
205405,ПТЭЦ1
205406,Сурск
205407,Кузнецк110
205409,ПТЭЦ2
205410,Кижеватово
205411,Компрессор.
205412,Сердобск110
205413,Скрябино
205414,Пенза2-220
205415,Пенза2-110
205416,Пачелма220
205417,Пачелма110
205418,Каменка
205419,Кузнецк220
205422,Ключики110
205424,Колышлей
205425,Пенза2-500
205450,Соседка
205455,Пенза  экв.
205460,Никольск
205468,Леонидовка
205467,отп. Восточная
205465,Кузн.тяг110
205501,Бугульма500
205502,Бугульма220
205503,Бугульма110
205504,Бугульма14
205505,УрГРЭС
205506,Болгары
205509,Абдрахман110
205510,Абдрахман220
205514,НбЧТЭЦтг1-11
205515,Азнакаево110
205516,Сулеево110
205517,Сулеево220
205518,Сидоровка
205519,Акташ
205520,ЗайГРЭС500
205521,ЗайГРЭС220
205522,ЗайГРЭС110
205523,Каргали
205524,НКмТЭЦ1
205525,Киндери500
205526,К.Букаш
205527,Магистрал220
205528,Киндери220
205529,Киндери110
205530,Магистрал110
205549,Централ110
205536,Западная
205531,КазТЭЦ2
205532,КазТЭЦ3-110 1.2.
205533,Зел.Дол220
205534,Зел.Дол110
205535,КазТЭЦ3-220
205537,Заводская110
205538,Узловая110
205539,Заводская220
205540,Узловая220
205541,Нижнекамская220
205542,Тойма110
205543,Тойма220
205544,НбЧТЭЦ-220
205545,Лениногорск
205546,Сулеево220
205547,Письмянка110
205548,Письмянка220
205550,ЗайГРЭСтг7-12
205551,ЗайГРЭСтг2-4
205555,НКГЭС500
205557,Азнакаево220
205558,Централ220
205559,КазТЭЦ1
205560,НКГЭСгг1-16
205570,Чистополь-220
205571,Чистополь-110
205580,Кукмор
205590,Студенец
205591,БуинскЭС
205592,Нурлат
205593,Дрожжан
205601,ЧебТЭЦ2
205602,ЧебТЭЦ2
205603,НЧебТЭЦ3
205604,Тиньговатово
205605,Канаш220
205606,Канаш110
205608,Тюрлема110
205609,Алатырь
205610,Катраси
205612,Батырево
205615,Тюрлема220
205618,ЧеГЭС500
205619,ЧеГЭС220
205620,ЧебТЭЦ1
205624,Заволжская
205625,ЧеГЭСгг13-18
205627,Венец110
205630,ЧеГЭСгг1-12
205631,Абашево
205636,Шемурша
205660,Венец220
205666,Ш.М.220ЧеГЭС
205690,Ядрин
205701,Рузаевка220
205702,Рузаевка110
205703,Умыс
205704,Мокша110
205705,Потьма
205717,Тепличное
205706,Центролит
205707,Комсомольская220
205708,Саранск220
205709,Саранск110
205710,СарТЭЦ2
205711,Комсомольская110
205712,Атяшево
205713,Ардатов
205714,Мокша220
205740,Вад
205741,Т.Стан
205750,Ичалки
205767,Ковылкино
205766,ГКС
205765,Бабеево
205762,Теньгушево-1
205751,Теньгушево-2
205715,РомодТЭЦ-4
205716,Темников
205752,Ельники
205807,Дубники220
205808,Дубники110
